best_epoch,best_val_loss_model_space,config_alignn_layers,config_batch_size,config_gcn_layers,config_hidden_features,config_loss,config_lr,config_weight_decay,done_x,elapsed_seconds,epoch,iterations_since_restore,run_group,time_since_restore,time_this_iter_s,time_total_s,train_loss_model_space,training_iteration,trial_id,trial_name,val_loss_model_space,val_mae,val_r2,val_rmse,trial_id_short,trial_order_within_shard,selected_best_epoch,selected_val_loss_model_space,max_epoch,reported_rows,final_time_total_s,status,done_y,trial_order
16,0.1293959247056769,2,4,3,256,smoothl1,0.0010276588249558,2.7582260602115382e-06,True,202.19871377944943,16,16,group_A,203.7549734115601,12.700412273406982,203.7549734115601,0.2384271977924257,16,3cd81e92,"trainable_3cd81e92_12_alignn_layers=2,batch_size=4,gcn_layers=3,hidden_features=256,loss=smoothl1,lr=0.0010,weight_decay=0.0000_2026-07-09_02-24-13",0.1293959247056769,0.527362793416117,0.6487221690181835,0.7159583104448296,3cd81e92,12,16,0.1293959247056769,16,16,203.7549734115601,ASHA-stopped,True,19
48,0.058755828875792,3,8,4,256,smoothl1,0.0006438312148701,2.5000615905305876e-06,False,500.663188457489,48,48,group_A,502.0800855159759,10.551351547241213,502.0800855159759,0.0367669276347466,48,94195bc9,"trainable_94195bc9_13_alignn_layers=3,batch_size=8,gcn_layers=4,hidden_features=256,loss=smoothl1,lr=0.0006,weight_decay=0.0000_2026-07-09_02-25-48",0.058755828875792,0.3283118638502087,0.8409146385903152,0.4818118451140455,94195bc9,13,48,0.058755828875792,50,50,523.0858833789825,full-budget,True,20
6,0.3448648511890381,2,4,4,64,mse,0.0004885269040343,1.826939194063876e-06,False,77.84531354904175,6,6,group_B,79.37128686904907,12.769328594207764,79.37128686904907,0.7039209700203632,6,78169f0b,"trainable_78169f0b_8_alignn_layers=2,batch_size=4,gcn_layers=4,hidden_features=64,loss=mse,lr=0.0005,weight_decay=0.0000_2026-07-09_02-25-23",0.3448648511890381,0.6148985565166636,0.5597900280162221,0.8014792837680194,78169f0b,8,6,0.3448648511890381,8,8,105.11256504058838,ASHA-stopped,True,21
6,0.2962475240072876,4,8,2,256,mse,0.0004819578621506,1.413149499975813e-06,False,62.25741147994995,6,6,group_A,63.84741497039795,10.4899320602417,63.84741497039795,0.5343901217376189,6,d429e7e2,"trainable_d429e7e2_14_alignn_layers=4,batch_size=8,gcn_layers=2,hidden_features=256,loss=mse,lr=0.0005,weight_decay=0.0000_2026-07-09_02-25-59",0.2962475240072876,0.5848307481935153,0.6218486388861413,0.7428398561439644,d429e7e2,14,6,0.2962475240072876,8,8,84.71844220161438,ASHA-stopped,True,22
5,0.3800407004734826,4,4,3,192,mse,0.0015998946733273,1.493097040083149e-06,False,75.6653196811676,5,5,group_B,77.19401478767395,15.11484146118164,77.19401478767395,0.7448209216983754,5,146ed4e7,"trainable_146ed4e7_9_alignn_layers=4,batch_size=4,gcn_layers=3,hidden_features=192,loss=mse,lr=0.0016,weight_decay=0.0000_2026-07-09_02-26-02",0.3800407004734826,0.661558499201841,0.5148890779052442,0.8413619929121654,146ed4e7,9,5,0.3800407004734826,8,8,122.86139917373656,ASHA-stopped,True,23
44,0.0580350093632226,1,8,2,128,smoothl1,0.0006875430537704,1.8164777292499189e-06,False,370.54112434387207,44,44,group_B,371.9639148712158,8.398422479629517,371.9639148712158,0.0594392408328063,44,06990d86,"trainable_06990d86_10_alignn_layers=1,batch_size=8,gcn_layers=2,hidden_features=128,loss=smoothl1,lr=0.0007,weight_decay=0.0000_2026-07-09_02-27-50",0.0580350093632226,0.3412915249628391,0.8486712494181634,0.4699190881572367,06990d86,10,44,0.0580350093632226,50,50,422.4595603942871,full-budget,True,24
7,0.3504664945223975,1,4,4,192,mse,0.0019794684641892,2.7873468773732206e-06,False,82.7925283908844,7,7,group_A,84.41780757904053,11.968625783920288,84.41780757904053,0.6774661700002765,7,7f8f3817,"trainable_7f8f3817_15_alignn_layers=1,batch_size=4,gcn_layers=4,hidden_features=192,loss=mse,lr=0.0020,weight_decay=0.0000_2026-07-09_02-26-43",0.3504664945223975,0.6392799282042932,0.5526396970105283,0.8079622783843987,7f8f3817,15,7,0.3504664945223975,8,8,96.26019859313963,ASHA-stopped,True,25
46,0.0640728871618944,2,8,2,64,smoothl1,0.0005714750597803,2.3635626664674207e-06,False,412.1670253276825,46,46,group_A,413.6565749645233,9.081802368164062,413.6565749645233,0.0697655913109172,46,209b2bdf,"trainable_209b2bdf_16_alignn_layers=2,batch_size=8,gcn_layers=2,hidden_features=64,loss=smoothl1,lr=0.0006,weight_decay=0.0000_2026-07-09_02-28-11",0.0640728871618944,0.3456725170388576,0.815092497971669,0.5194450703419818,209b2bdf,16,46,0.0640728871618944,50,50,449.55572295188904,full-budget,True,26
4,0.3118198111889854,4,4,2,192,mse,0.0006572448959052,2.9393524030128084e-06,False,59.45081043243408,4,4,group_A,61.07619524002075,14.887862920761108,61.07619524002075,0.705058556531971,4,9941d8e7,"trainable_9941d8e7_17_alignn_layers=4,batch_size=4,gcn_layers=2,hidden_features=192,loss=mse,lr=0.0007,weight_decay=0.0000_2026-07-09_02-28-32",0.3118198111889854,0.6013018675345619,0.6019710669294183,0.7621135521994785,9941d8e7,17,4,0.3118198111889854,8,8,119.77362203598022,ASHA-stopped,True,27
15,0.1272191407267378,1,4,2,192,smoothl1,0.0010079146336439,3.496631058790507e-05,False,159.46996641159058,15,15,group_A,161.00059580802915,10.705349206924438,161.00059580802915,0.2165806700191641,15,662322f8,"trainable_662322f8_18_alignn_layers=1,batch_size=4,gcn_layers=2,hidden_features=192,loss=smoothl1,lr=0.0010,weight_decay=0.0000_2026-07-09_02-29-15",0.1272191407267378,0.5149544034055527,0.645350924953444,0.7193856641864391,662322f8,18,15,0.1272191407267378,16,16,171.6282594203949,ASHA-stopped,True,28
