best_epoch,best_val_loss_model_space,config_alignn_layers,config_batch_size,config_gcn_layers,config_hidden_features,config_loss,config_lr,config_weight_decay,done,epoch,num_reported_rows,run_group,test_mae,test_r2,test_rmse,time_total_s,training_iteration,trial_name,val_loss_model_space,val_mae,val_r2,val_rmse
16,0.1293959247056769,2,4,3,256,smoothl1,0.0010276588249558,2.7582260602115382e-06,True,16,16,group_A,,,,203.7549734115601,16,"trainable_3cd81e92_12_alignn_layers=2,batch_size=4,gcn_layers=3,hidden_features=256,loss=smoothl1,lr=0.0010,weight_decay=0.0000_2026-07-09_02-24-13",0.1293959247056769,0.527362793416117,0.6487221690181835,0.7159583104448296
7,0.1480029364111562,1,8,3,64,smoothl1,0.0011008426345937,1.0087051413397846e-05,True,8,8,group_A,,,,70.61886668205261,8,"trainable_41303144_115_alignn_layers=1,batch_size=8,gcn_layers=3,hidden_features=64,loss=smoothl1,lr=0.0011,weight_decay=0.0000_2026-07-09_03-12-34",0.1849440380379005,0.6440847736389809,0.4684103388412048,0.8807458918880525
8,0.1595549238106561,4,4,2,64,smoothl1,0.0004750050433415,5.898212835865632e-05,True,8,8,group_A,,,,117.72431993484496,8,"trainable_41e63807_96_alignn_layers=4,batch_size=4,gcn_layers=2,hidden_features=64,loss=smoothl1,lr=0.0005,weight_decay=0.0001_2026-07-09_03-07-29",0.1595549238106561,0.6102310033420176,0.5818325702380329,0.7811554461649857
16,0.117608017293076,2,4,3,256,smoothl1,0.0007021745162855,7.148113222685977e-06,True,16,16,group_A,,,,203.3936185836792,16,"trainable_427fe7b8_142_alignn_layers=2,batch_size=4,gcn_layers=3,hidden_features=256,loss=smoothl1,lr=0.0007,weight_decay=0.0000_2026-07-09_03-21-03",0.117608017293076,0.4999862518604333,0.6852765234652936,0.6776835335712483
47,0.0570804187141004,1,8,3,64,smoothl1,0.0006216454095156,4.069229641401696e-06,True,50,50,group_A,,,,431.4763703346253,50,"trainable_42b0fb2a_150_alignn_layers=1,batch_size=8,gcn_layers=3,hidden_features=64,loss=smoothl1,lr=0.0006,weight_decay=0.0000_2026-07-09_03-22-46",0.0588426937758134,0.3376006107452489,0.8415827131909281,0.4807991029525141
7,0.1667598722867234,3,8,4,128,smoothl1,0.0008320494364661,5.235979979713423e-06,True,8,8,group_A,,,,86.09284925460815,8,"trainable_438a7851_58_alignn_layers=3,batch_size=8,gcn_layers=4,hidden_features=128,loss=smoothl1,lr=0.0008,weight_decay=0.0000_2026-07-09_02-50-21",0.2987131565888092,0.8603835515618207,0.0663938153346838,1.1671971629523452
15,0.1075403596121798,1,8,1,64,smoothl1,0.0005755946675707,2.170372260698349e-06,True,16,16,group_A,,,,128.85691785812378,16,"trainable_44d90142_158_alignn_layers=1,batch_size=8,gcn_layers=1,hidden_features=64,loss=smoothl1,lr=0.0006,weight_decay=0.0000_2026-07-09_03-25-01",0.1285877851424393,0.5071045255716138,0.6021321109030862,0.7619593596247906
7,0.1837029601373369,1,4,4,128,smoothl1,0.0008849058446563,4.687908868424546e-06,True,8,8,group_A,,,,98.16110467910768,8,"trainable_45d2993d_127_alignn_layers=1,batch_size=4,gcn_layers=4,hidden_features=128,loss=smoothl1,lr=0.0009,weight_decay=0.0000_2026-07-09_03-16-43",0.217545091790497,0.7188984649105424,0.3955014663194799,0.9392041202181396
7,0.1418926873140865,1,8,3,64,smoothl1,0.000788657103848,5.885034191781458e-06,True,8,8,group_A,,,,70.86976838111877,8,"trainable_48dd3081_184_alignn_layers=1,batch_size=8,gcn_layers=3,hidden_features=64,loss=smoothl1,lr=0.0008,weight_decay=0.0000_2026-07-09_03-35-31",0.1639119031883421,0.6096163442949439,0.5419175687854083,0.8175873834979681
47,0.0682907207726092,1,8,3,64,smoothl1,0.0003673247395515,1.4362917209756108e-05,True,50,50,group_A,,,,430.957213640213,50,"trainable_493d3e02_24_alignn_layers=1,batch_size=8,gcn_layers=3,hidden_features=64,loss=smoothl1,lr=0.0004,weight_decay=0.0000_2026-07-09_02-31-18",0.0684636959007808,0.364370670738405,0.8162599806282255,0.5178026183341075
